id,name,acronym,website,religious_affiliation,religious_subgroup,continent_hq,country_hq,environment_projects_url,reports_publications,created_at
075b8d09-b02a-49c5-b1ef-3b7b4d7b5fb7,Arigatou International,,https://arigatouinternational.org/en/,Interfaith,,Asia,Japan,https://arigatouinternational.org/blog/relationship-between-climate-change-disasters-and-child-poverty/#,,2025-03-21 08:47:10.630963+00
0918fc7f-4b9c-4091-bc7f-3ab6b84cbeaf,Catholic Earthcare Australia,,https://catholicearthcare.org.au,Christian,Catholic,Australia/Oceania,Australia,https://catholicearthcare.org.au/resources/,https://catholicearthcare.org.au/resources/,2025-03-21 08:47:10.630963+00
0d0654bc-3308-48ae-9ca0-1b237ade011c,Association of Member Episcopal Conferences in Eastern Africa,AMECEA,https://amecea.org,Christian,Episcopal,Africa,Kenya,"https://communications.amecea.org/index.php/2022/02/04/uganda-gulu-archdiocese-set-to-empower-farmers-on-environmental-protection/
https://communications.amecea.org/index.php/2021/05/21/malawi-parish-priest-leads-by-example-in-caring-for-the-environment-in-dedza/
https://communications.amecea.org/index.php/2021/07/09/kenya-environmentalist-cleric-advocates-for-eco-friendly-sanitary-towels/",,2025-03-21 08:47:10.630963+00
0dc0aa69-0501-451d-8205-c3b3c96ed961,Centre for Ecology and Sustainable Development (CEKOR),,http://www.cekor.org,Christian,Orthodox,Europe,Serbia,"https://www-cekor-org.translate.goog/index/page/lg/sr/id/720?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-US&_x_tr_pto=wapp&_x_tr_sch=http
",https://orthodoxtimes.com/upcoming-un-event-to-be-co-sponsored-by-greek-orthodox-archdiocese-of-america/,2025-03-21 08:47:10.630963+00
0fecc0de-2955-4db6-811b-ef9ba3a15f30,Catholic Rural Youth Movement Germany e.V.,KLJB,https://www.kljb.org,Christian,Catholic,Europe,Germany,https://www.kljb.org/aktionen/,,2025-03-21 08:47:10.630963+00
1011b687-6f55-48e7-8249-eb08999fbad3,Caritas Kenya,,https://caritaskenya.or.ke,Christian,Catholic,Africa,Kenya,"https://caritaskenya.or.ke/livelihoods-wash/
https://caritaskenya.or.ke/climate-change-sdgs/",,2025-03-21 08:47:10.630963+00
170ab927-654f-4fa0-8533-943609328b7c,Africa Europe Faith and Justice Network,,http://aefjn.org/en/home//,Christian,,Europe,Belgium,http://aefjn.org/en/category/food-sovereignty/#,"http://aefjn.org/wp-content/uploads/2019/01/Plan-of-Action-2019-2022.pdf
http://aefjn.org/wp-content/uploads/2017/06/Manual-on-economic-justice-1.pdf
http://aefjn.org/wp-content/uploads/2017/06/Manual-on-economic-justice-2.pdf",2025-03-21 08:47:10.630963+00
1ded574e-1a64-42c5-add2-3017da6d595b,All India Organization of Imams of Mosques,,http://www.allindiaimamorganization.org/home.html,Muslim,,Asia,India,http://www.allindiaimamorganization.org/objectives.html,,2025-03-21 08:47:10.630963+00
37e8a43f-b5a4-4039-9788-fea1880fdae5,Bahai International Community,,https://www.bic.org,Baha'i,,Global,,https://www.bic.org/perspectives/perspective-address-climate-change-ensure-coherence-between-principle-and-action,,2025-03-21 08:47:10.630963+00
3be7666e-6b60-4a93-95e5-b820b1370a52,Brahma Kumaris Environment Initiative,,https://eco.brahmakumaris.org,Brahma Kumari,,Global,,https://eco.brahmakumaris.org/what-we-do/,,2025-03-21 08:47:10.630963+00
43ae47c9-123c-421a-acfa-3c30b5fc13f3,Buddhist Global Relief,,https://www.buddhistglobalrelief.org,Buddhist,,North America,USA,https://www.buddhistglobalrelief.org/current-projects/sustainable-agriculture/,,2025-03-21 08:47:10.630963+00
43f9563e-5358-439d-8955-06abd8fa1fc9,BAHU Trust,,https://bahutrust.org,Muslim,Sufi,Europe,United Kingdom,https://bahutrust.org/environment/,,2025-03-21 08:47:10.630963+00
4c77b6e1-52bb-4d10-99f2-c27acce4be0a,Bhumi Global,,https://www.bhumiglobal.org,Hindu,,North America,USA,https://www.bhumiglobal.org/our-work,,2025-03-21 08:47:10.630963+00
587e7e78-4fb0-4107-91b6-2ae93c8f37b2,Australian Religious Response to Climate Change,ARRCC,https://www.arrcc.org.au,Interfaith,,Australia/Oceania,Australia,"https://www.arrcc.org.au/get-active
https://www.arrcc.org.au/cool-communities-taking-action-on-climate-change",https://d3n8a8pro7vhmx.cloudfront.net/arrcc/pages/46/attachments/original/1613701249/ARRCC_2020_Annual_Report_FINAL_6MB.pdf?1613701249,2025-03-21 08:47:10.630963+00
636056b9-5e03-4ab3-bb9e-bc323ff0d52e,Association Catholique pour la Protection de lEnvironnement au Burundi,ACAPE Burundi,www.acape-burundi.org,Christian,Catholic,Africa,Burundi,https://www.acape-burundi.org/nos-campagnes,https://www.acape-burundi.org/laudato-si/ressources/guide,2025-03-21 08:47:10.630963+00
64cdcbe4-489c-41b4-8e54-c01e906b944d,"Adventist Relief and Development Agency Mongolia (ADRA) ",,https://adra.org.mn/en/,Christian,Adventist,Asia,Mongolia,"https://adra.org.mn/en/projects/project2/
https://adra.org.mn/en/projects/partnership-for-organic-agriculture-project/",,2025-03-21 08:47:10.630963+00
77a86b0c-9c79-486d-9f4e-99833f67b1fc,All Africa Conference of Churches,,http://www.aacc-ceta.org/en/,Christian,Ecumenical,Africa,Kenya,http://www.aacc-ceta.org/en/programmes/peace-diakonia-and-development,http://www.aacc-ceta.org/en/resources?download=87:concept-note&start=15,2025-03-21 08:47:10.630963+00
7de0a1d1-3269-4dd7-ac93-e34a90c8a85f,Carmelite NGO,,http://carmelitengo.org/en/,Christian,Catholic - Carmelite,North America,USA,http://carmelitengo.org/en/projects-en/,http://carmelitengo.org/ngo/wp-content/uploads/2021/03/Bulletin-2021-vol-14-number-2.pdf,2025-03-21 08:47:10.630963+00
7f323c18-4899-4398-8aac-078aa5b2f077,Catholic Concern for Animals,,https://catholic-animals.com,Christian,Catholic,North America,USA,https://catholic-animals.com/activities/,,2025-03-21 08:47:10.630963+00
81388436-cbf2-4f7b-8257-d2558d090433,Aga Khan Development Network,,https://www.akdn.org,Muslim,,Global,,https://www.akdn.org/what-we-do/environment-and-climate,https://www.akdn.org/press-centre/publications?f%5B0%5D=field_focus_area%3A13566,2025-03-21 08:47:10.630963+00
86b180d9-2034-4a4e-a4f2-851299aeb062,Catholic Youth Network for Environmental Sustainability in Africa,CYNESA,http://www.cynesa.org,Christian,Catholic,Africa,Kenya,http://www.cynesa.org/projects/,,2025-03-21 08:47:10.630963+00
8ade37e3-ae41-4054-850c-f008bec70842,Bishnoi Community,,,Hindu,Bishnoi,Asia,India,"https://www.uri.org/uri-story/20170605-bishnoi-not-just-community-belief-system-supports-environmental-commitment
https://india.mongabay.com/2020/04/bishnois-taking-environment-conservation-beyond-religion/",,2025-03-21 08:47:10.630963+00
91540305-213a-41ec-9ca2-89566f527111,Aytzim,,https://aytzim.org,Jewish,,North America,USA,https://aytzim.org/about-us,https://aytzim.org/resources/articles,2025-03-21 08:47:10.630963+00
9e97d7a1-7b2e-4c43-bed1-ac6f377c8c17,American Jewish World Service,,https://ajws.org,Jewish,,North America,USA,https://ajws.org/what-we-do/land-and-water-rights/,https://ajws-americanjewishwo.netdna-ssl.com/wp-content/uploads/2020/12/LWCJ_Issue_onePager.pdf,2025-03-21 08:47:10.630963+00
abb63f1e-90d1-469d-95ab-7761432ffe72,Buddhist Tzu Chi Foundation,,https://www.tzuchi.us,Buddhist,Jing Si Dharma,North America,USA,https://tzuchi.us/ethical-eating-day,,2025-03-21 08:47:10.630963+00
afc52b7a-306d-407e-bcb2-1ae4b06a024d,Afuhi Project,,https://afuhi.jp,Shinto,,Asia,Japan,"https://afuhi-jp.translate.goog/about/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-GB&_x_tr_pto=nui
https://afuhi-jp.translate.goog/activity/?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-GB&_x_tr_pto=nui",,2025-03-21 08:47:10.630963+00
bb838d2c-408f-4dfa-b333-1ff19f2dd2c0,A Rocha,,https://www.arocha.org/en/,Christian,,Europe,United Kingdom,https://www.arocha.org/en/projects/,https://www.arocha.org/en/publications/annual-review-20202021/,2025-03-21 08:47:10.630963+00
be0ac258-8a90-4973-b70c-d48f5b64fbee,Cadena,,http://www.cadena.ngo/,Jewish,,North America,USA,https://cadena.ngo/en/prevention-and-resilience-building/,,2025-03-21 08:47:10.630963+00
